federal_state;number_hss;avg_energy_MWh;avg_power_MW;avg_energy_kWh;avg_power_kW;total_bess_energy_MWh;total_inv_power_MW;total_bess_energy_kWh;total_inv_power_kW
Baden;180822;0.00898;0.00537;8.98;5.37;1623.78156;971.01414;1623781.56;971014.14
Bavaria;236713;0.00937;0.00563;9.37;5.63;2218.00081;1332.69419;2218000.81;1332694.19
Berlin;10841;0.00863;0.00507;8.63;5.07;93.55783;54.96387;93557.83;54963.87
Brandenburg;38706;0.00865;0.005;8.65;5;334.8069;193.53;334806.9;193530
Bremen;2152;0.00782;0.00469;7.82;4.69;16.82864;10.09288;16828.64;10092.88
Hamburg;5286;0.00819;0.00495;8.19;4.95;43.29234;26.1657;43292.34;26165.7
Hesse;68017;0.0089;0.00566;8.9;5.66;605.3513;384.97622;605351.3;384976.22
Lower Saxony;137876;0.00854;0.00546;8.54;5.46;1177.46104;752.80296;1177461.04;752802.96
Mecklenburg;15744;0.00859;0.0055;8.59;5.5;135.24096;86.592;135240.96;86592
Northrhine;217411;0.00893;0.00563;8.93;5.63;1941.48023;1224.02393;1941480.23;1224023.93
Rhineland-Palatine;65936;0.00892;0.00582;8.92;5.82;588.14912;383.74752;588149.12;383747.52
Saarland;11559;0.00859;0.0061;8.59;6.1;99.29181;70.5099;99291.81;70509.9
Saxony;40041;0.0092;0.00545;9.2;5.45;368.3772;218.22345;368377.2;218223.45
Saxony-Anhalt;25579;0.00851;0.00546;8.51;5.46;217.67729;139.66134;217677.29;139661.34
Schleswig-Holstein;35740;0.00822;0.0051;8.22;5.1;293.7828;182.274;293782.8;182274
Thuringia;24544;0.00877;0.00553;8.77;5.53;215.25088;135.72832;215250.88;135728.32
